,0,1
Kurunegala,seat of a first-order administrative division,28571.0
Cucuta district,valley,0.0
Bakassi district,,
Ressado Garcia,,
Palin,second-order administrative division,0.0
Tiuccia,populated place,0.0
Aley,locality,0.0
Masaeed,,
Uribe,airport,0.0
Boghni,populated place,54666.0
Baraki,populated place,105402.0
Sanliurfa,first-order administrative division,1801980.0
Sari Pul district,,
Sardheri,,
Ishkamish district,,
Garowe,airport,0.0
Bolan,second-order administrative division,0.0
Akora Khattak,populated place,23288.0
Latakia,seat of a first-order administrative division,340181.0
Chora,second-order administrative division,0.0
Conakry,capital of a political entity,1767200.0
Glengormley,populated place,0.0
Waleed,populated place,0.0
Faridkot,populated place,77450.0
Zubair,seat of a second-order administrative division,122676.0
Santo Nino,populated place,2040.0
Skaikhan,,
Muang Narathiwat district,,
Udayn,second-order administrative division,143578.0
Masaya,seat of a first-order administrative division,130113.0
La Mar district,hill,0.0
Panadura,populated place,33735.0
Cork,seat of a second-order administrative division,190384.0
Yondo,second-order administrative division,15097.0
Bello,seat of a third-order administrative division,392939.0
Kohsan district,,
Dowr,populated place,0.0
Kayanza,seat of a first-order administrative division,19443.0
Ciudad Juarez,seat of a second-order administrative division,1512354.0
Khanabad,airport,0.0
Dnipropetrovsk,seat of a first-order administrative division,1032822.0
Waeng,second-order administrative division,38388.0
Ceel Waaq,area,0.0
Guasdilito,,
Chajul,second-order administrative division,31780.0
Malatya,seat of a first-order administrative division,441805.0
Quibdo,seat of a first-order administrative division,75104.0
Arawa,seat of a second-order administrative division,40266.0
Chavakachcheri,populated place,0.0
San Esteban Catarina,populated place,0.0
Jos district,second-order administrative division,0.0
Minsk,capital of a political entity,1742124.0
Nabatiyah,seat of a first-order administrative division,120000.0
Daquq,second-order administrative division,0.0
Timbangan,point,0.0
Chillan,populated place,150396.0
Al-Faris district,locality,0.0
Philadelphia,seat of a second-order administrative division,1567442.0
Dhalai district,populated place,0.0
Dalori,third-order administrative division,0.0
San Francisco de Mosca,seat of a third-order administrative division,0.0
Cincinnati,seat of a second-order administrative division,296943.0
Deh Rahwod,,
Azaz,seat of a second-order administrative division,66138.0
South Garo Hills district,,
Mankulam,locality,0.0
Arauca district,,
Juliaca,seat of a third-order administrative division,245675.0
Gurdaspur District,second-order administrative division,2298323.0
Sabratah,populated place,102038.0
Anglet,populated place,40658.0
Mazatenango,seat of a first-order administrative division,44132.0
Valletta,capital of a political entity,6794.0
Drogheda,populated place,33441.0
Tampa,seat of a second-order administrative division,369075.0
Magdeburg,seat of a first-order administrative division,229826.0
Garvagh,populated place,1372.0
Villa Nueva,seat of a second-order administrative division,406830.0
Mannar District,second-order administrative division,0.0
Cali district,populated place,0.0
Gurziwan district,,
Sejoud,mountain,0.0
Gaur,populated place,27325.0
Candelaria,second-order administrative division,0.0
Sheikhan,populated place,0.0
Dargecit,second-order administrative division,28891.0
Bloomington,seat of a second-order administrative division,84067.0
Salbu,pass,0.0
Sungai Padi ((District)),,
Jalalaqsi,second-order administrative division,0.0
Ipil,seat of a second-order administrative division,19195.0
Springs,seat of a second-order administrative division,456568.0
Marea,populated place,0.0
San Felipe,seat of a first-order administrative division,146000.0
Bukavu,seat of a first-order administrative division,225389.0
Mukha,second-order administrative division,18155.0
Lota,populated place,49763.0
Afgoye district,,
San Pedro Jocopilas,second-order administrative division,21782.0
Kuwayr,area,0.0
Uchiza,airport,0.0
Yekaterinburg,seat of a first-order administrative division,1349772.0
Tacuati,populated place,2405.0
Uludere,second-order administrative division,39329.0
Buenavista,populated place,206081.0
Kiryat Gat,populated place,47450.0
Angoor Ada,populated place,0.0
Roodepoort,populated place,225000.0
Uige,first-order administrative division,1426354.0
Miranshah,area,0.0
Andkhoy district,,
Rautahat district,third-order administrative division,591290.0
Gujrat,seat of a second-order administrative division,301506.0
Diffa,first-order administrative division,489531.0
Cheddikulam,populated place,0.0
Mandaluyong,populated place,305576.0
Shihr,second-order administrative division,73482.0
Sarkani district,,
Chahar Bolak district,,
Joateca,populated place,0.0
West Garo Hills district,second-order administrative division,643291.0
Heidelberg,seat of a third-order administrative division,143345.0
Aurangabad district,seat of a second-order administrative division,1016441.0
Remedios district,second-order administrative division,4052.0
Kadiria,populated place,0.0
Bursa,seat of a first-order administrative division,1412701.0
Agadez,seat of a first-order administrative division,124324.0
Chimtal district,,
Oruro,seat of a first-order administrative division,208684.0
Zagreb,capital of a political entity,698966.0
Cabana,populated place,0.0
Elgoibar,seat of a third-order administrative division,11220.0
Paquibato,,
Chatra district,fourth-order administrative division,0.0
Saraqib,seat of a third-order administrative division,34231.0
Envigado,seat of a second-order administrative division,163007.0
Mamond,,
Srbica,locality,0.0
Convencion,second-order administrative division,0.0
Jaramana,seat of a third-order administrative division,0.0
Zamboanga city,seat of a second-order administrative division,457623.0
Kfar Houneh,,
Qaryatayn,seat of a third-order administrative division,31748.0
Shorabak district,,
Duluiyah,facility,0.0
Gorbaz,populated place,0.0
Tamenglong district,,
Chibok,second-order administrative division,0.0
Kapho,second-order administrative division,15550.0
Jandola,populated place,0.0
Buratai,third-order administrative division,0.0
Firozpur,populated place,102130.0
Lattakia,airport,0.0
Santa Cruz de Tenerife,seat of a first-order administrative division,222417.0
Dadu,seat of a second-order administrative division,139784.0
Peje,seat of a first-order administrative division,48962.0
Solola,first-order administrative division,307661.0
Nukhayb,populated place,0.0
Muhallabiyah,populated place,0.0
Rabiah,populated place,0.0
Setif,seat of a first-order administrative division,288461.0
Kishtwar,second-order administrative division,0.0
Pervari,second-order administrative division,33505.0
Anamoros,populated place,2655.0
Kerawa,stream,0.0
Munger district,populated place,203163.0
Dera Ghazi Khan,seat of a second-order administrative division,236093.0
Kagiso,populated place,0.0
Al-Salam,populated place,89327.0
Agustin Codazzi,seat of a second-order administrative division,51478.0
Gerona,seat of a second-order administrative division,96188.0
Ghorband district,,
Tirah district,populated place,20786.0
Harasta,seat of a third-order administrative division,37348.0
St. Paul,populated place,99307.0
Ngala,second-order administrative division,0.0
Tawilah district,locality,0.0
Venta,stream,0.0
Montpellier,seat of a second-order administrative division,248252.0
Pulka,third-order administrative division,0.0
Gayan district,populated place,0.0
Markethill,populated place,0.0
Digboi,populated place,20685.0
Gambaru,seat of a second-order administrative division,84672.0
Kayseri,seat of a first-order administrative division,592840.0
East Aceh Regency,,
Peque,second-order administrative division,9621.0
Luxembourg,independent political entity,497538.0
Mexico city,capital of a political entity,12294193.0
Ansongo,second-order administrative division,0.0
Huancapi,populated place,0.0
Delicias de Concepcion,populated place,0.0
San Jacinto,second-order administrative division,21593.0
Baga,locality,0.0
Abu Tawilah,island,0.0
Enugu,seat of a first-order administrative division,688862.0
Kermanshah,seat of a first-order administrative division,621100.0
Anghone,,
Garzon,airport,0.0
Ali Masjid,mosque,0.0
Niamey,capital of a political entity,774235.0
Maale Adumim,populated place,0.0
Guzara district,populated place,0.0
Lilong,populated place,0.0
Sincelejo,seat of a first-order administrative division,261187.0
Damadola,populated place,0.0
San Bruno,seat of a third-order administrative division,6202.0
Mahottari district,,
Nalbari,second-order administrative division,771639.0
Siem Reap,seat of a first-order administrative division,139458.0
Doncello,second-order administrative division,21547.0
Kilrea,populated place,1616.0
Porto Alegre,seat of a first-order administrative division,1372741.0
Chintalnar,populated place,0.0
Datu Salibo district,,
Dhangadhi,populated place,92294.0
Kosovska Mitrovica,seat of a first-order administrative division,107045.0
Jakawa,hill,0.0
Bayt Umar,populated place,12238.0
Huayllapata,mountain,0.0
Jhao,populated place,0.0
Zummar,locality,0.0
Gamboru Ngala,seat of a second-order administrative division,84672.0
San Sebastian de Yali,second-order administrative division,0.0
Gossaigaon,populated place,13933.0
Maynay,,
Comalapa,second-order administrative division,0.0
Azizabad,populated place,0.0
Meanguera,populated place,0.0
Benidorm,seat of a third-order administrative division,71034.0
Soroti,airport,0.0
Koshki Kohna district,,
Gijon district,,
Saqlawiah,,
Milwaukee,seat of a second-order administrative division,600155.0
Jayapura,seat of a first-order administrative division,134895.0
Furiani,populated place,4337.0
Rishon le Zion,populated place,220492.0
Zakha Khel,tribal area,0.0
San Miguel de Mercedes,populated place,0.0
